Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
Gonorrhea,2019,Alabama,1,15-19,All races/ethnicities,Both sexes,"3,024",964.2,"313,615"
Gonorrhea,2018,Alabama,1,15-19,All races/ethnicities,Both sexes,"2,877",910.7,"315,919"
Gonorrhea,2017,Alabama,1,15-19,All races/ethnicities,Both sexes,"2,755",865.6,"318,271"
Gonorrhea,2016,Alabama,1,15-19,All races/ethnicities,Both sexes,"1,568",489,"320,661"
Gonorrhea,2015,Alabama,1,15-19,All races/ethnicities,Both sexes,"1,613",504.9,"319,474"
Gonorrhea,2014,Alabama,1,15-19,All races/ethnicities,Both sexes,"1,713",538.1,"318,331"
Gonorrhea,2013,Alabama,1,15-19,All races/ethnicities,Both sexes,"2,246",699.7,"321,016"
Gonorrhea,2012,Alabama,1,15-19,All races/ethnicities,Both sexes,"2,682",828.3,"323,788"
Gonorrhea,2011,Alabama,1,15-19,All races/ethnicities,Both sexes,"2,775",841.3,"329,841"
Gonorrhea,2010,Alabama,1,15-19,All races/ethnicities,Both sexes,"2,554",749.4,"340,821"
Gonorrhea,2009,Alabama,1,15-19,All races/ethnicities,Both sexes,"2,325",701.8,"331,314"
Gonorrhea,2008,Alabama,1,15-19,All races/ethnicities,Both sexes,"2,972",897.4,"331,162"
Gonorrhea,2007,Alabama,1,15-19,All races/ethnicities,Both sexes,"3,023",920.4,"328,428"
Gonorrhea,2006,Alabama,1,15-19,All races/ethnicities,Both sexes,"3,049",935,"326,100"
Gonorrhea,2005,Alabama,1,15-19,All races/ethnicities,Both sexes,"2,445",760.6,"321,438"
Gonorrhea,2004,Alabama,1,15-19,All races/ethnicities,Both sexes,"2,028",638.8,"317,495"
Gonorrhea,2003,Alabama,1,15-19,All races/ethnicities,Both sexes,"2,469",781.8,"315,806"
Gonorrhea,2002,Alabama,1,15-19,All races/ethnicities,Both sexes,"2,694",851.4,"316,437"
Gonorrhea,2001,Alabama,1,15-19,All races/ethnicities,Both sexes,"3,064",958.5,"319,674"
Gonorrhea,2000,Alabama,1,15-19,All races/ethnicities,Both sexes,"3,467",1066.1,"325,203"
Chlamydia,2019,Alabama,1,15-19,All races/ethnicities,Both sexes,"9,674",3084.7,"313,615"
Chlamydia,2018,Alabama,1,15-19,All races/ethnicities,Both sexes,"9,257",2930.2,"315,919"
Chlamydia,2017,Alabama,1,15-19,All races/ethnicities,Both sexes,"9,549",3000.3,"318,271"
Chlamydia,2016,Alabama,1,15-19,All races/ethnicities,Both sexes,"6,931",2161.5,"320,661"
Chlamydia,2015,Alabama,1,15-19,All races/ethnicities,Both sexes,"7,832",2451.5,"319,474"
Chlamydia,2014,Alabama,1,15-19,All races/ethnicities,Both sexes,"8,892",2793.3,"318,331"
Chlamydia,2013,Alabama,1,15-19,All races/ethnicities,Both sexes,"9,677",3014.5,"321,016"
Chlamydia,2012,Alabama,1,15-19,All races/ethnicities,Both sexes,"10,620",3279.9,"323,788"
Chlamydia,2011,Alabama,1,15-19,All races/ethnicities,Both sexes,"10,703",3244.9,"329,841"
Chlamydia,2010,Alabama,1,15-19,All races/ethnicities,Both sexes,"9,948",2918.8,"340,821"
Chlamydia,2009,Alabama,1,15-19,All races/ethnicities,Both sexes,"9,598",2896.9,"331,314"
Chlamydia,2008,Alabama,1,15-19,All races/ethnicities,Both sexes,"9,133",2757.9,"331,162"
Chlamydia,2007,Alabama,1,15-19,All races/ethnicities,Both sexes,"8,927",2718.1,"328,428"
Chlamydia,2006,Alabama,1,15-19,All races/ethnicities,Both sexes,"8,448",2590.6,"326,100"
Chlamydia,2005,Alabama,1,15-19,All races/ethnicities,Both sexes,"6,223",1936,"321,438"
Chlamydia,2004,Alabama,1,15-19,All races/ethnicities,Both sexes,"5,039",1587.1,"317,495"
Chlamydia,2003,Alabama,1,15-19,All races/ethnicities,Both sexes,"5,587",1769.1,"315,806"
Chlamydia,2002,Alabama,1,15-19,All races/ethnicities,Both sexes,"6,144",1941.6,"316,437"
Chlamydia,2001,Alabama,1,15-19,All races/ethnicities,Both sexes,"5,743",1796.5,"319,674"
